   ,日期,时间,交易量,成功率,响应时间
1,0201,0000,19,94.74%,106.11
2,0201,0001,79,98.73%,107.89
3,0201,0002,54,98.15%,102.57
4,0201,0003,52,90.38%,91.92
5,0201,0004,61,96.72%,94.92
6,0201,0005,66,98.48%,101.27
7,0201,0006,78,98.72%,96.63
8,0201,0007,75,100%,637.28
9,0201,0008,67,95.52%,90.37
10,0201,0009,71,98.59%,94.99
11,0201,0010,69,98.55%,671.33
12,0201,0011,71,95.77%,105.2
13,0201,0012,63,100%,744.3
14,0201,0013,59,100%,103.27
15,0201,0014,66,96.97%,102.14
16,0201,0015,54,96.3%,94.41
17,0201,0016,58,98.28%,96.67
18,0201,0017,68,97.06%,99.49
19,0201,0018,56,100%,101.25
20,0201,0019,79,96.2%,103.14
21,0201,0020,59,100%,91.88
22,0201,0021,64,100%,94.97
23,0201,0022,56,100%,811.11
24,0201,0023,43,95.35%,107.91
25,0201,0024,36,97.22%,119.25
26,0201,0025,55,98.18%,106.11
27,0201,0026,52,94.23%,100.21
28,0201,0027,58,96.55%,104.24
29,0201,0028,39,97.44%,105.77
30,0201,0029,48,97.92%,100.75
31,0201,0030,71,97.18%,102.13
32,0201,0031,42,90.48%,94.31
33,0201,0032,48,100%,112.48
34,0201,0033,36,91.67%,126.58
35,0201,0034,30,100%,111.97
36,0201,0035,35,91.43%,106.97
37,0201,0036,42,97.62%,99.38
38,0201,0037,42,97.62%,102.5
39,0201,0038,44,97.73%,98.57
40,0201,0039,26,100%,103.85
41,0201,0040,33,93.94%,100.21
42,0201,0041,46,95.65%,208.13
43,0201,0042,49,91.84%,110.2
44,0201,0043,30,100%,98.13
45,0201,0044,38,100%,93.24
46,0201,0045,44,100%,105.36
47,0201,0046,61,98.36%,99.11
48,0201,0047,42,97.62%,94.83
49,0201,0048,30,96.67%,105.67
50,0201,0049,41,92.68%,99.27
51,0201,0050,22,95.45%,102.86
52,0201,0051,40,95%,96.03
53,0201,0052,54,98.15%,111.37
54,0201,0053,48,100%,108.81
55,0201,0054,37,100%,98.92
56,0201,0055,36,91.67%,111.75
57,0201,0056,49,93.88%,108.61
58,0201,0057,49,100%,104.2
59,0201,0058,36,97.22%,102.03
60,0201,0059,51,92.16%,100.39
61,0201,0100,35,97.14%,121.17
62,0201,0101,20,90%,104.4
63,0201,0102,27,100%,99.56
64,0201,0103,28,96.43%,101.11
65,0201,0104,33,96.97%,1333.18
66,0201,0105,28,100%,101.64
67,0201,0106,37,89.19%,100.35
68,0201,0107,26,100%,142.35
69,0201,0108,39,94.87%,101.33
70,0201,0109,26,96.15%,91.27
71,0201,0110,25,100%,112.64
72,0201,0111,37,94.59%,96.78
73,0201,0112,42,90.48%,134.81
74,0201,0113,33,100%,95.3
75,0201,0114,52,100%,104.77
76,0201,0115,45,93.33%,106.71
77,0201,0116,35,100%,100.66
78,0201,0117,41,92.68%,142.07
79,0201,0118,33,100%,167.12
80,0201,0119,40,100%,124.68
81,0201,0120,29,100%,1473.9
82,0201,0121,37,89.19%,98.92
83,0201,0122,33,96.97%,99.48
84,0201,0123,30,96.67%,102.47
85,0201,0124,23,91.3%,94.7
86,0201,0125,17,94.12%,108
87,0201,0126,16,93.75%,101.25
88,0201,0127,21,100%,104.1
89,0201,0128,30,100%,98.9
90,0201,0129,26,92.31%,96.04
91,0201,0130,18,100%,2319.72
92,0201,0131,28,96.43%,101.21
93,0201,0132,19,100%,96.95
94,0201,0133,35,88.57%,102.63
95,0201,0134,37,89.19%,98.24
96,0201,0135,28,96.43%,102.5
97,0201,0136,29,100%,110.52
98,0201,0137,32,100%,110.44
99,0201,0138,18,100%,87.61
100,0201,0139,31,100%,97.9
101,0201,0140,17,100%,94.94
102,0201,0141,25,96%,91.52
103,0201,0142,33,100%,103.15
104,0201,0143,39,100%,107.62
105,0201,0144,19,100%,107.05
106,0201,0145,27,96.3%,109.48
107,0201,0146,11,100%,101.82
108,0201,0147,17,100%,100.88
109,0201,0148,18,100%,111.67
110,0201,0149,23,91.3%,103.57
111,0201,0150,33,100%,107.48
112,0201,0151,27,100%,98.52
113,0201,0152,23,100%,1844.57
114,0201,0153,12,100%,90
115,0201,0154,24,100%,98.21
116,0201,0155,18,100%,107.78
117,0201,0156,22,100%,101.41
118,0201,0157,13,100%,97.31
119,0201,0158,15,86.67%,103
120,0201,0159,32,90.63%,101.44
121,0201,0200,18,100%,95.28
122,0201,0201,13,100%,96.38
123,0201,0202,17,94.12%,96.71
124,0201,0203,22,95.45%,99.95
125,0201,0204,15,93.33%,100.13
126,0201,0205,29,100%,104.38
127,0201,0206,24,95.83%,100.5
128,0201,0207,18,94.44%,140.17
129,0201,0208,17,100%,2453.59
130,0201,0209,18,100%,104.83
131,0201,0210,13,100%,101.54
132,0201,0211,13,100%,110
133,0201,0212,17,100%,97.18
134,0201,0213,32,96.88%,1347.69
135,0201,0214,25,96%,114.12
136,0201,0215,25,96%,269.72
137,0201,0216,18,88.89%,178.44
138,0201,0217,19,89.47%,256
139,0201,0218,12,100%,96.08
140,0201,0219,19,100%,112.79
141,0201,0220,28,100%,102.68
142,0201,0221,20,100%,105.3
143,0201,0222,18,100%,100.56
144,0201,0223,20,100%,99.45
145,0201,0224,24,100%,99
146,0201,0225,12,100%,100
147,0201,0226,12,100%,108.75
148,0201,0227,23,100%,102
149,0201,0228,25,100%,102.96
150,0201,0229,12,91.67%,100.42
151,0201,0230,17,100%,101.53
152,0201,0231,10,100%,102.3
153,0201,0232,12,100%,103.83
154,0201,0233,20,100%,96
155,0201,0234,15,100%,100.07
156,0201,0235,23,100%,98.7
157,0201,0236,21,100%,106.76
158,0201,0237,15,93.33%,102.47
159,0201,0238,22,95.45%,99.82
160,0201,0239,28,96.43%,95.82
161,0201,0240,15,100%,103.6
162,0201,0241,11,100%,95
163,0201,0242,19,100%,2198.63
164,0201,0243,21,95.24%,131.81
165,0201,0244,27,96.3%,91.26
166,0201,0245,26,100%,1643.54
167,0201,0246,29,96.55%,97.79
168,0201,0247,20,95%,98.25
169,0201,0248,16,93.75%,96.25
170,0201,0249,17,94.12%,103.06
171,0201,0250,20,95%,98.25
172,0201,0251,21,85.71%,130.1
173,0201,0252,11,100%,97.18
174,0201,0253,6,100%,84.67
175,0201,0254,16,93.75%,97
176,0201,0255,9,77.78%,101.33
177,0201,0256,21,90.48%,97.43
178,0201,0257,15,100%,98.2
179,0201,0258,15,100%,106.47
180,0201,0259,23,100%,104.17
181,0201,0300,10,100%,112.1
182,0201,0301,9,100%,97.56
183,0201,0302,5,100%,104.2
184,0201,0303,5,80%,8122.4
185,0201,0304,11,100%,100.27
186,0201,0305,13,100%,3175.85
187,0201,0306,13,100%,96.77
188,0201,0307,14,100%,114.86
189,0201,0308,24,91.67%,95.71
190,0201,0309,17,100%,103
191,0201,0310,9,100%,93.33
192,0201,0311,20,90%,116.05
193,0201,0312,8,75%,93.63
194,0201,0313,9,88.89%,111.89
195,0201,0314,13,92.31%,113.62
196,0201,0315,20,100%,100.15
197,0201,0316,18,100%,99.61
198,0201,0317,14,100%,99.14
199,0201,0318,18,100%,110.5
200,0201,0319,19,100%,97.63
201,0201,0320,13,92.31%,116.85
202,0201,0321,13,92.31%,97.08
203,0201,0322,20,100%,97.2
204,0201,0323,14,100%,99.43
205,0201,0324,11,100%,113
206,0201,0325,11,100%,107.27
207,0201,0326,12,91.67%,120.33
208,0201,0327,14,85.71%,133.07
209,0201,0328,23,100%,103.48
210,0201,0329,12,91.67%,118.25
211,0201,0330,4,100%,100.5
212,0201,0331,11,100%,127.73
213,0201,0332,12,100%,118.5
214,0201,0333,10,100%,150.4
215,0201,0334,9,100%,101.33
216,0201,0335,21,100%,133
217,0201,0336,9,88.89%,128.56
218,0201,0337,13,92.31%,156.15
219,0201,0338,10,100%,130.6
220,0201,0339,16,100%,101.19
221,0201,0340,11,100%,110.82
222,0201,0341,15,93.33%,124.4
223,0201,0342,9,100%,104.22
224,0201,0343,12,91.67%,134.58
225,0201,0344,11,90.91%,148.91
226,0201,0345,5,80%,101.2
227,0201,0346,11,100%,110.27
228,0201,0347,12,100%,103.42
229,0201,0348,4,100%,82
230,0201,0349,5,100%,101.2
231,0201,0350,4,100%,101.25
232,0201,0351,7,100%,125.86
