   ,日期,时间,交易量,成功率,响应时间
1,0111,0000,83,97.59%,104.19
2,0111,0001,148,99.32%,97.25
3,0111,0002,129,93.8%,92.74
4,0111,0003,107,95.33%,92.23
5,0111,0004,102,94.12%,95.67
6,0111,0005,96,89.58%,7118.91
7,0111,0006,102,98.04%,5836.45
8,0111,0007,122,98.36%,95.84
9,0111,0008,78,96.15%,95.94
10,0111,0009,105,100%,105.08
11,0111,0010,95,98.95%,98.56
12,0111,0011,119,93.28%,448.71
13,0111,0012,99,97.98%,94.8
14,0111,0013,96,96.88%,105.25
15,0111,0014,97,94.85%,521.4
16,0111,0015,117,95.73%,109.77
17,0111,0016,110,99.09%,100.2
18,0111,0017,118,99.15%,1190.64
19,0111,0018,101,97.03%,487.5
20,0111,0019,85,97.65%,100.79
21,0111,0020,96,87.5%,538.77
22,0111,0021,89,93.26%,110.43
23,0111,0022,86,95.35%,112.88
24,0111,0023,98,94.9%,513.86
25,0111,0024,90,98.89%,110.3
26,0111,0025,91,95.6%,101.34
27,0111,0026,93,94.62%,99.54
28,0111,0027,80,100%,109.99
29,0111,0028,96,97.92%,111.33
30,0111,0029,88,96.59%,100.97
31,0111,0030,65,95.38%,106.57
32,0111,0031,82,100%,122
33,0111,0032,72,100%,106.63
34,0111,0033,63,96.83%,119.81
35,0111,0034,71,98.59%,110.1
36,0111,0035,69,91.3%,112.61
37,0111,0036,65,98.46%,101.77
38,0111,0037,61,100%,107.69
39,0111,0038,54,96.3%,102.83
40,0111,0039,75,97.33%,106.4
41,0111,0040,78,96.15%,616.31
42,0111,0041,86,94.19%,101.69
43,0111,0042,86,95.35%,97.44
44,0111,0043,46,97.83%,103.87
45,0111,0044,52,90.38%,105.75
46,0111,0045,57,92.98%,107.19
47,0111,0046,54,96.3%,100.02
48,0111,0047,37,100%,104.51
49,0111,0048,38,89.47%,114.18
50,0111,0049,48,93.75%,108.5
51,0111,0050,45,95.56%,103.18
52,0111,0051,66,92.42%,108.32
53,0111,0052,80,97.5%,108.54
54,0111,0053,55,90.91%,108.16
55,0111,0054,61,96.72%,104.08
56,0111,0055,46,93.48%,101.78
57,0111,0056,59,98.31%,777.07
58,0111,0057,56,100%,110.52
59,0111,0058,56,96.43%,107.77
60,0111,0059,43,95.35%,101.16
61,0111,0100,49,97.96%,100.49
62,0111,0101,40,97.5%,112.13
63,0111,0102,41,95.12%,101.46
64,0111,0103,54,98.15%,104.52
65,0111,0104,50,96%,118.5
66,0111,0105,43,97.67%,110.67
67,0111,0106,59,96.61%,103.36
68,0111,0107,55,96.36%,103.71
69,0111,0108,46,97.83%,114.48
70,0111,0109,48,97.92%,108.83
71,0111,0110,49,97.96%,920.59
72,0111,0111,49,100%,97.63
73,0111,0112,40,97.5%,113.33
74,0111,0113,47,100%,100.62
75,0111,0114,47,100%,102.6
76,0111,0115,44,97.73%,1019.8
77,0111,0116,40,97.5%,102.9
78,0111,0117,33,96.97%,116.7
79,0111,0118,36,100%,124.22
80,0111,0119,27,100%,128.19
81,0111,0120,46,95.65%,98.5
82,0111,0121,49,97.96%,97.78
83,0111,0122,37,91.89%,103.03
84,0111,0123,47,97.87%,97.57
85,0111,0124,63,100%,101.11
86,0111,0125,55,94.55%,100.11
87,0111,0126,51,100%,101.73
88,0111,0127,45,95.56%,115.69
89,0111,0128,38,100%,98.92
