   ,日期,时间,交易量,成功率,响应时间
1,0301,0000,68,89.71%,86.91
2,0301,0001,123,99.19%,98.15
3,0301,0002,121,96.69%,98.69
4,0301,0003,99,94.95%,94.48
5,0301,0004,106,94.34%,91.15
6,0301,0005,88,97.73%,97.13
7,0301,0006,116,97.41%,92.1
8,0301,0007,95,95.79%,94.36
9,0301,0008,83,96.39%,98.27
10,0301,0009,109,97.25%,466.81
11,0301,0010,84,96.43%,106.9
12,0301,0011,68,97.06%,93.24
13,0301,0012,96,95.83%,96.52
14,0301,0013,113,96.46%,453.88
15,0301,0014,110,97.27%,96.99
16,0301,0015,111,98.2%,103.01
17,0301,0016,115,99.13%,107.17
18,0301,0017,95,97.89%,98.01
19,0301,0018,86,96.51%,111.65
20,0301,0019,72,97.22%,649.39
21,0301,0020,70,97.14%,107
22,0301,0021,84,96.43%,109.99
23,0301,0022,76,88.16%,99.12
24,0301,0023,89,97.75%,99.82
25,0301,0024,111,95.5%,100.35
26,0301,0025,86,95.35%,92.52
27,0301,0026,69,98.55%,679.74
28,0301,0027,90,100%,106.19
29,0301,0028,69,98.55%,104.32
30,0301,0029,75,96%,102.61
31,0301,0030,73,97.26%,108.32
32,0301,0031,71,98.59%,100.9
33,0301,0032,80,98.75%,603.75
34,0301,0033,91,96.7%,115.41
35,0301,0034,51,90.2%,103.98
36,0301,0035,56,94.64%,107.46
37,0301,0036,51,90.2%,110.24
38,0301,0037,47,100%,104.66
39,0301,0038,56,91.07%,102.95
40,0301,0039,45,97.78%,108.56
41,0301,0040,68,95.59%,114.6
42,0301,0041,70,94.29%,103.86
43,0301,0042,57,92.98%,97.09
44,0301,0043,67,94.03%,695.43
45,0301,0044,64,98.44%,103.19
46,0301,0045,49,87.76%,100.45
47,0301,0046,64,98.44%,102
48,0301,0047,61,93.44%,102
49,0301,0048,53,98.11%,92.45
50,0301,0049,47,97.87%,108.57
51,0301,0050,55,96.36%,96.45
52,0301,0051,65,95.38%,101.57
53,0301,0052,69,97.1%,106.39
54,0301,0053,53,98.11%,113.51
55,0301,0054,43,100%,100.37
56,0301,0055,67,98.51%,100.12
57,0301,0056,53,96.23%,117.7
58,0301,0057,70,92.86%,122.94
59,0301,0058,51,96.08%,106.43
60,0301,0059,39,97.44%,92.21
61,0301,0100,42,95.24%,91.24
62,0301,0101,48,100%,98.38
63,0301,0102,43,97.67%,99.35
64,0301,0103,61,98.36%,106.07
65,0301,0104,48,97.92%,95.35
66,0301,0105,53,100%,100.28
67,0301,0106,56,94.64%,104.02
68,0301,0107,45,97.78%,96.84
69,0301,0108,45,91.11%,108.07
70,0301,0109,34,97.06%,94.26
71,0301,0110,40,97.5%,105.45
72,0301,0111,50,98%,114.18
73,0301,0112,47,97.87%,101.74
74,0301,0113,47,95.74%,104
75,0301,0114,36,97.22%,114
76,0301,0115,49,95.92%,114.06
77,0301,0116,58,100%,104.14
78,0301,0117,34,100%,102.79
79,0301,0118,42,92.86%,104.17
80,0301,0119,32,93.75%,110.56
81,0301,0120,30,100%,94.4
